家賃（円）,管理費（円）,家賃+管理費,敷金（円）,敷金（◯ヶ月分）,礼金（円）,礼金（◯ヶ月分）,間取り,面積（m2）,向き,タイプ,築年数,地区,駅・バス停までの時間（徒歩、分）,最寄り駅・バス停
40000,3000,43000,120000,3.00,0,0,1K,23,南西,マンション,20,石川県金沢市久安２,15,北陸鉄道石川線/野々市工大前駅 
48000,3000,51000,0,0.00,0,0,1K,28.94,-,マンション,7,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,-,アパート,4,石川県野々市市高橋町,8,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,-,アパート,4,石川県野々市市高橋町,8,北陸鉄道石川線/野々市工大前駅
61000,5000,66000,0,0.00,122000,2,1LDK,33.61,-,アパート,4,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
61000,5000,66000,0,0.00,122000,2,1LDK,33.61,-,アパート,4,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
38000,3000,41000,38000,1.00,0,0,1K,29,南,アパート,22,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,-,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,西,アパート,4,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
38000,3000,41000,0,0.00,0,0,1K,23,南西,マンション,20,石川県金沢市久安２,15,北陸鉄道石川線/野々市工大前駅 
47000,6500,53500,0,0.00,47000,1,1K,31.05,-,アパート,14,石川県野々市市若松町,14,北陸鉄道石川線/野々市工大前駅 
37000,2000,39000,37000,1.00,0,0,1K,29.06,南,アパート,22,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
44000,4000,48000,88000,2.00,0,0,1K,29.7,南,アパート,17,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
44000,4000,48000,88000,2.00,0,0,1K,29.7,南,アパート,18,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
47000,2000,49000,47000,1.00,0,0,1R,28.94,-,アパート,8,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
36000,2000,38000,36000,1.00,0,0,1K,29.06,-,アパート,22,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
36000,2000,38000,36000,1.00,0,0,1K,27.53,-,アパート,22,石川県野々市市高橋町,7,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,-,アパート,4,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
64000,5000,69000,0,0.00,128000,2,1LDK,39.77,-,アパート,4,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
44000,4000,48000,88000,2.00,0,0,1K,29.7,南,アパート,18,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
44000,4000,48000,88000,2.00,0,0,1K,29.7,南,アパート,18,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
44000,4000,48000,88000,2.00,0,0,1K,29.7,南,アパート,18,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
66000,5000,71000,0,0.00,66000,1,1LDK,39.77,東,アパート,5,石川県金沢市横川２,14,北陸鉄道石川線/野々市工大前駅 
66000,5000,71000,0,0.00,66000,1,1LDK,39.77,東,アパート,5,石川県金沢市横川２,14,北陸鉄道石川線/野々市工大前駅 
41000,2000,43000,41000,1.00,0,0,1R,31.88,-,アパート,15,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
45000,0,45000,0,0.00,0,0,2DK,44.35,西,マンション,34,石川県金沢市久安２,14,北陸鉄道石川線/野々市工大前駅 
48000,4000,52000,48000,1.00,0,0,1R,28.16,南,アパート,3,石川県野々市市高橋町,3,北陸鉄道石川線/野々市工大前駅
42000,2000,44000,42000,1.00,0,0,1R,32.51,-,アパート,15,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
49000,2000,51000,49000,1.00,0,0,1R,30.78,-,アパート,6,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
32000,4000,36000,32000,1.00,0,0,1K,24.78,南,アパート,18,石川県野々市市本町２,4,北陸鉄道石川線/野々市工大前駅
34000,1800,35800,0,0.00,0,0,1K,29.94,南,アパート,27,石川県金沢市横川１,7,北陸鉄道石川線/野々市工大前駅
31000,2000,33000,0,0.00,0,0,1K,25.67,南,アパート,27,石川県野々市市菅原町,11,北陸鉄道石川線/野々市工大前駅 
31000,2000,33000,0,0.00,0,0,1K,24.29,南,アパート,27,石川県野々市市菅原町,11,北陸鉄道石川線/野々市工大前駅 
31000,2000,33000,0,0.00,0,0,1K,24.29,北,アパート,27,石川県野々市市菅原町,11,北陸鉄道石川線/野々市工大前駅 
34000,4550,38550,0,0.00,0,0,1K,23.93,東,アパート,25,石川県野々市市本町１,3,北陸鉄道石川線/野々市工大前駅
36000,3000,39000,0,0.00,0,0,1K,35,南,アパート,29,石川県金沢市横川１,6,北陸鉄道石川線/野々市工大前駅
36000,3000,39000,0,0.00,0,0,1K,35,南,アパート,29,石川県金沢市横川１,6,北陸鉄道石川線/野々市工大前駅
33000,3000,36000,0,0.00,0,0,2K,29.16,南,マンション,35,石川県野々市市住吉町,5,北陸鉄道石川線/野々市工大前駅
33000,3000,36000,0,0.00,0,0,2K,29.16,南,マンション,35,石川県野々市市住吉町,5,北陸鉄道石川線/野々市工大前駅
33000,2500,35500,33000,1.00,0,0,1K,23.91,北,アパート,31,石川県野々市市本町３,9,北陸鉄道石川線/野々市工大前駅
33000,2500,35500,33000,1.00,0,0,1K,23.91,-,アパート,31,石川県野々市市本町３,9,北陸鉄道石川線/野々市工大前駅
31000,3000,34000,0,0.00,0,0,2K,29.16,南,マンション,35,石川県野々市市住吉町,6,北陸鉄道石川線/野々市工大前駅
32000,3000,35000,0,0.00,0,0,2K,31.32,南,マンション,35,石川県野々市市住吉町,5,北陸鉄道石川線/野々市工大前駅
81000,3000,84000,0,0.00,81000,1,3LDK,72.19,南,アパート,2,石川県野々市市押野４,7,北陸鉄道石川線/押野駅
31000,2000,33000,31000,1.00,0,0,1K,23.37,-,アパート,31,石川県野々市市扇が丘,10,北陸鉄道石川線/野々市工大前駅 
31000,2000,33000,0,0.00,0,0,2K,29.16,南,マンション,35,石川県野々市市住吉町,5,北陸鉄道石川線/野々市工大前駅
37000,0,37000,37000,1.00,0,0,1K,26.5,西,一戸建て,34,石川県野々市市本町４,15,北陸鉄道石川線/野々市工大前駅 
49000,2700,51700,0,0.00,0,0,2LDK,55.2,南,アパート,22,石川県野々市市扇が丘,3,北陸鉄道バス/扇が丘
26000,4000,30000,0,0.00,0,0,2K,24.07,南,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
26000,4000,30000,0,0.00,0,0,2K,24.07,南,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
30000,2500,32500,60000,2.00,0,0,1K,25.92,西,アパート,30,石川県金沢市三馬３,15,北陸鉄道石川線/野々市工大前駅 
30000,2500,32500,60000,2.00,0,0,1K,25.92,西,アパート,30,石川県金沢市三馬３,15,北陸鉄道石川線/野々市工大前駅 
27000,3000,30000,30000,1.11,0,0,1R,25.92,-,マンション,27,石川県野々市市菅原町,12,北陸鉄道石川線/野々市工大前駅 
27000,3000,30000,30000,1.11,0,0,1R,25.92,南,マンション,27,石川県野々市市菅原町,12,北陸鉄道石川線/野々市工大前駅 
31000,2000,33000,0,0.00,0,0,1R,18.93,南西,アパート,29,石川県金沢市久安１,14,北陸鉄道石川線/野々市工大前駅 
28000,2500,30500,56000,2.00,0,0,1K,25.92,西,アパート,30,石川県金沢市三馬３,15,北陸鉄道石川線/野々市工大前駅 
28000,2500,30500,56000,2.00,0,0,1K,25.92,西,アパート,30,石川県金沢市三馬３,15,北陸鉄道石川線/野々市工大前駅 
26000,3000,29000,0,0.00,0,0,1K,19.44,南,マンション,32,石川県野々市市住吉町,10,北陸鉄道石川線/野々市工大前駅 
31000,2500,33500,62000,2.00,0,0,1K,19.87,南,アパート,32,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
27000,2500,29500,54000,2.00,0,0,1K,25.92,西,アパート,30,石川県金沢市三馬３,15,北陸鉄道石川線/野々市工大前駅 
27000,2500,29500,54000,2.00,0,0,1K,25.92,西,アパート,30,石川県金沢市三馬３,15,北陸鉄道石川線/野々市工大前駅 
70000,3400,73400,0,0.00,146000,2.085714286,1LDK,50.54,南西,アパート,24,石川県野々市市高橋町,3,北陸鉄道石川線/野々市工大前駅
30000,2000,32000,60000,2.00,0,0,1K,22.68,南,アパート,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
22000,3000,25000,0,0.00,0,0,1K,15.81,南,アパート,29,石川県金沢市横川１,6,北陸鉄道石川線/野々市工大前駅
28000,1800,29800,28000,1.00,0,0,1K,23.18,南,アパート,34,石川県金沢市久安１,15,北陸鉄道石川線/野々市工大前駅 
30000,5000,35000,60000,2.00,0,0,1K,24.78,南,アパート,35,石川県野々市市本町２,4,北陸鉄道石川線/野々市工大前駅
30000,5000,35000,60000,2.00,0,0,1K,24.78,南,アパート,35,石川県野々市市本町２,4,北陸鉄道石川線/野々市工大前駅
25000,3400,28400,0,0.00,0,0,1K,22.27,東,アパート,33,石川県野々市市本町２,6,北陸鉄道石川線/野々市工大前駅
25000,1800,26800,25000,1.00,0,0,1K,23.18,南,アパート,34,石川県金沢市久安１,15,北陸鉄道石川線/野々市工大前駅 
25000,1800,26800,25000,1.00,0,0,1K,23.18,南,アパート,34,石川県金沢市久安１,15,北陸鉄道石川線/野々市工大前駅 
28000,5000,33000,56000,2.00,0,0,1K,24.78,南,アパート,35,石川県野々市市本町２,4,北陸鉄道石川線/野々市工大前駅
42000,2400,44400,0,0.00,0,0,1LDK,39.12,南東,アパート,25,石川県野々市市住吉町,6,北陸鉄道バス/野々市本町3丁目
20000,1500,21500,40000,2.00,0,0,2K,27,南,アパート,38,石川県野々市市高橋町,4,北陸鉄道石川線/野々市工大前駅
27000,2000,29000,54000,2.00,0,0,1K,21.28,南,アパート,37,石川県金沢市三馬３,15,北陸鉄道石川線/野々市工大前駅 
27000,3000,30000,54000,2.00,27000,1,1K,27,南,アパート,38,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
21000,0,21000,0,0.00,0,0,1R,22.95,南,マンション,31,石川県野々市市高橋町,6,北陸鉄道石川線/野々市工大前駅
22000,3100,25100,0,0.00,0,0,1R,15.68,南,マンション,31,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
80000,0,80000,160000,2.00,0,0,7K,107.37,西,一戸建て,51,石川県金沢市横川２,10,北陸鉄道石川線/野々市工大前駅 
27000,1000,28000,54000,2.00,0,0,1K,24.01,西,アパート,40,石川県野々市市高橋町,15,北陸鉄道石川線/野々市工大前駅 
20000,3100,23100,0,0.00,0,0,1R,15.32,南,マンション,31,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
20000,3100,23100,0,0.00,0,0,1R,15.32,南,マンション,31,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
19000,3100,22100,0,0.00,0,0,1R,15.32,南,マンション,31,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
25000,0,25000,50000,2.00,0,0,1K,21.46,東,マンション,36,石川県野々市市本町２,1,北陸鉄道石川線/野々市工大前駅
18000,4000,22000,0,0.00,0,0,1R,22.95,南東,マンション,31,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
42000,2400,44400,0,0.00,0,0,1LDK,33.57,北西,アパート,25,石川県野々市市住吉町,6,北陸鉄道バス/野々市本町3丁目
17000,3100,20100,0,0.00,0,0,1R,15.32,南,マンション,31,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
28000,0,28000,40000,1.43,0,0,1K,19.83,南,アパート,47,石川県金沢市横川２,10,北陸鉄道石川線/野々市工大前駅 
28000,0,28000,40000,1.43,0,0,1K,19.83,南,アパート,47,石川県金沢市横川２,10,北陸鉄道石川線/野々市工大前駅 
42000,1700,43700,84000,2.00,0,0,3DK,53.46,南,アパート,37,石川県野々市市本町３,5,白峰線/西野々市
18000,0,18000,0,0.00,0,0,1R,19.87,東,マンション,38,石川県野々市市扇が丘,10,北陸鉄道石川線/野々市工大前駅 
18500,1500,20000,0,0.00,0,0,1K,19.83,南,アパート,39,石川県野々市市本町３,6,北陸鉄道石川線/野々市工大前駅
17000,0,17000,0,0.00,0,0,1R,19.87,東,マンション,38,石川県野々市市扇が丘,10,北陸鉄道石川線/野々市工大前駅 
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,南,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,北,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
17000,4000,21000,0,0.00,0,0,1R,15.22,南,マンション,34,石川県野々市市高橋町,5,北陸鉄道石川線/野々市工大前駅
15000,0,15000,0,0.00,0,0,1R,17.35,東,マンション,38,石川県野々市市扇が丘,10,北陸鉄道石川線/野々市工大前駅 
22000,0,22000,22000,1.00,0,0,1K,19.83,南,アパート,47,石川県金沢市横川２,10,北陸鉄道石川線/野々市工大前駅 
38000,4000,42000,0,0.00,0,0,3DK,52.25,南,マンション,50,石川県野々市市菅原町,14,北陸鉄道石川線/馬替駅 
32000,2700,34700,64000,2.00,20000,0.625,1K,26.28,東,マンション,35,石川県野々市市扇が丘,6,北鉄バス/金沢工大前バス停
32000,2200,34200,64000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
32000,2200,34200,64000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
32000,2200,34200,64000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
30000,2200,32200,60000,2.00,0,0,1K,25.92,東,マンション,36,石川県野々市市扇が丘,2,北鉄バス　有松四十万線/工業大学前
33000,2500,35500,0,0.00,0,0,1K,27.92,西,マンション,33,石川県野々市市高橋町,8,野々市線/東野々市
34000,2000,36000,68000,2.00,0,0,1K,22.68,西,アパート,30,石川県野々市市高橋町,1,北鉄バス/金沢工大前
30000,3000,33000,0,0.00,0,0,1K,24.42,-,アパート,33,石川県金沢市横川２,12,北陸鉄道石川線/野々市駅 
17000,0,17000,30000,1.76,0,0,1K,17.55,南,マンション,33,石川県野々市市高橋町,9,北鉄バス/工大前
16500,4000,20500,30000,1.82,0,0,1R,22.95,南,マンション,31,石川県野々市市高橋町,5,北鉄バス/工業大学前
20000,1500,21500,20000,1.00,0,0,1K,18.27,東,アパート,46,石川県野々市市住吉町,7,北陸鉄道石川線/馬替駅
52000,2500,54500,52000,1.00,52000,1,2LDK,51.33,-,アパート,29,石川県野々市市若松町,12,北陸鉄道石川線/野々市駅 
52000,2500,54500,52000,1.00,52000,1,2LDK,51.33,-,アパート,29,石川県野々市市若松町,12,北陸鉄道石川線/野々市駅 
67000,3400,70400,0,0.00,134000,2,2LDK,56.89,南東,アパート,15,石川県野々市市扇が丘,13,北陸鉄道石川線/馬替駅 
39000,4200,43200,39000,1.00,0,0,1K,25.05,東,マンション,23,石川県野々市市扇が丘,12,北陸鉄道石川線/馬替駅 
59000,3500,62500,0,0.00,59000,1,1LDK,42.11,南,アパート,16,石川県野々市市扇が丘,8,ＩＲいしかわ鉄道/金沢駅 バス31分 (バス停)扇が丘
55000,3500,58500,0,0.00,55000,1,1LDK,33.39,南,アパート,15,石川県野々市市若松町,5,北鉄バス/西野々市
57000,5200,62200,57000,1.00,0,0,1LDK,46.2,南西,マンション,12,石川県野々市市本町１,4,北陸鉄道石川線/野々市駅
39000,4200,43200,39000,1.00,0,0,1K,25.05,東,マンション,23,石川県野々市市扇が丘,6,北陸鉄道バス/工業大学前
59000,5000,64000,0,0.00,59000,1,1LDK,40.33,西,アパート,11,石川県金沢市横川２,4,北鉄バス/横川４丁目
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,-,アパート,14,石川県金沢市横川３,11,北陸鉄道石川線/押野駅 
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,南西,アパート,14,石川県金沢市横川３,11,北陸鉄道石川線/押野駅 
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,-,アパート,14,石川県金沢市横川３,11,北陸鉄道石川線/押野駅 
64000,4500,68500,0,0.00,64000,1,1LDK,40.52,-,アパート,14,石川県金沢市横川３,11,北陸鉄道石川線/押野駅 
62000,2000,64000,0,0.00,62000,1,2LDK,57.17,南,アパート,13,石川県野々市市横宮町,8,北陸鉄道石川線/野々市駅
62000,2000,64000,0,0.00,62000,1,2LDK,57.17,南,アパート,13,石川県野々市市横宮町,8,北陸鉄道石川線/野々市駅
66000,5500,71500,0,0.00,132000,2,1LDK,46.72,-,アパート,10,石川県野々市市押野４,4,北陸鉄道石川線/押野駅
66000,5500,71500,0,0.00,132000,2,1LDK,46.72,-,アパート,10,石川県野々市市押野４,4,北陸鉄道石川線/押野駅
66000,5500,71500,0,0.00,132000,2,1LDK,46.72,-,アパート,10,石川県野々市市押野４,4,北陸鉄道石川線/押野駅
53000,2500,55500,0,0.00,0,0,2LDK,53.58,東,マンション,18,石川県野々市市本町１,1,北陸鉄道石川線/野々市駅
53000,2500,55500,0,0.00,0,0,2LDK,53.58,東,マンション,18,石川県野々市市本町１,1,北陸鉄道石川線/野々市駅
53000,2500,55500,0,0.00,0,0,2LDK,53.58,東,マンション,18,石川県野々市市本町１,1,北陸鉄道石川線/野々市駅
52000,2500,54500,52000,1.00,52000,1,2LDK,51.33,-,アパート,29,石川県野々市市若松町,10,北陸鉄道石川線/野々市駅 
51000,2000,53000,0,0.00,51000,1,1LDK,47.42,南,アパート,12,石川県野々市市本町１,3,北陸鉄道石川線/野々市駅
51000,2000,53000,0,0.00,51000,1,1LDK,47.42,南,アパート,12,石川県野々市市本町１,3,北陸鉄道石川線/野々市駅
53000,3500,56500,0,0.00,53000,1,2K,36.68,南,アパート,21,石川県野々市市若松町,11,北陸鉄道石川線/野々市駅 
55000,2500,57500,0,0.00,0,0,2LDK,56.53,南,アパート,25,石川県野々市市住吉町,5,北鉄バス/住吉町
