Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
6.400,0.000,0.000,-9.800
6.500,0.000,0.000,-9.800
6.600,0.000,0.000,-9.800
6.700,0.000,0.000,-9.800
6.800,0.000,0.000,-9.800
6.900,0.000,0.000,-9.800
7.000,0.000,0.000,-9.800
7.100,0.000,0.000,-9.800
7.200,0.000,0.000,-9.800
7.300,0.000,0.000,-9.800
7.400,0.000,0.000,-9.800
7.500,0.000,0.000,-9.800
7.600,0.000,0.000,-9.800
7.700,0.000,0.000,-9.800
7.800,0.000,0.000,-9.800
7.900,0.000,0.000,-9.800
8.000,0.000,0.000,-9.800
8.100,0.000,0.000,-9.800
8.200,0.000,0.000,-9.800
8.300,0.000,0.000,-9.800
8.400,0.000,0.000,-9.800
8.500,0.000,0.000,-9.800
8.600,0.000,0.000,-9.800
8.700,0.000,0.000,-9.800
8.800,0.000,0.000,-9.800
8.900,0.000,0.000,-9.800
9.000,0.000,0.000,-9.800
9.100,0.000,0.000,-9.800
9.200,0.000,0.000,-9.800
9.300,0.000,0.000,-9.800
9.400,0.000,0.000,-9.800
9.500,0.000,0.000,-9.800
9.600,0.000,0.000,-9.800
9.700,0.000,0.000,-9.800
9.800,0.000,0.000,-9.800
9.900,0.000,0.000,-9.800
10.000,0.000,0.000,-9.800
10.100,0.000,0.000,-9.800
10.200,0.000,0.000,-9.800
10.300,0.000,0.000,-9.800
10.400,0.000,0.000,-9.800
10.500,0.000,0.000,-9.800
10.600,0.000,0.000,-9.800
10.700,0.000,0.000,-9.800
10.800,0.000,0.000,-9.800
10.900,0.000,0.000,-9.800
11.000,0.000,0.000,-9.800
11.100,0.000,0.000,-9.800
11.200,0.000,0.000,-9.800
11.300,0.000,0.000,-9.800
11.400,0.000,0.000,-9.800
11.500,0.000,0.000,-9.800
11.600,0.000,0.000,-9.800
11.700,0.000,0.000,-9.800
11.800,0.000,0.000,-9.800
11.900,0.000,0.000,-9.800
12.000,0.000,0.000,-9.800
12.100,0.000,0.000,-9.800
12.200,0.000,0.000,-9.800
12.300,0.000,0.000,-9.800
12.400,0.000,0.000,-9.800
12.500,0.000,0.000,-9.800
12.600,0.000,0.000,-9.800
12.700,0.000,0.000,-9.800
12.800,0.000,0.000,-9.800
12.900,0.000,0.000,-9.800
13.000,0.000,0.000,-9.800
13.100,0.000,0.000,-9.800
13.200,0.000,0.000,-9.800
13.300,0.000,0.000,-9.800
13.400,0.000,0.000,-9.800
13.500,0.000,0.000,-9.800
13.600,0.000,0.000,-9.800
13.700,0.000,0.000,-9.800
13.800,0.000,0.000,-9.800
13.900,0.000,0.000,-9.800
14.000,0.000,0.000,-9.800
14.100,0.000,0.000,-9.800
14.200,0.000,0.000,-9.800
14.300,0.000,0.000,-9.800
14.400,0.000,0.000,-9.800
14.500,0.000,0.000,-9.800
14.600,0.000,0.000,-9.800
14.700,0.000,0.000,-9.800
14.800,0.000,0.000,-9.800
14.900,0.000,0.000,-9.800
15.000,0.000,0.000,-9.800
15.100,0.000,0.000,-9.800
15.200,0.000,0.000,-9.800
15.300,0.000,0.000,-9.800
15.400,0.000,0.000,-9.800
15.500,0.000,0.000,-9.800
15.600,0.000,0.000,-9.800
15.700,0.000,0.000,-9.800
15.800,0.000,0.000,-9.800
15.900,0.000,0.000,-9.800
16.000,0.000,0.000,-9.800
16.100,0.000,0.000,-9.800
16.200,0.000,0.000,-9.800
16.300,0.000,0.000,-9.800
16.400,0.000,0.000,-9.800
16.500,0.000,0.000,-9.800
16.600,0.000,0.000,-9.800
16.700,0.000,0.000,-9.800
16.800,0.000,0.000,-9.800
16.900,0.000,0.000,-9.800
17.000,0.000,0.000,-9.800
17.100,0.000,0.000,-9.800
17.200,0.000,0.000,-9.800
17.300,0.000,0.000,-9.800
17.400,0.000,0.000,-9.800
17.500,0.000,0.000,-9.800
17.600,0.000,0.000,-9.800
17.700,0.000,0.000,-9.800
17.800,0.000,0.000,-9.800
17.900,0.000,0.000,-9.800
18.000,0.000,0.000,-9.800
18.100,0.000,0.000,-9.800
18.200,0.000,0.000,-9.800
18.300,0.000,0.000,-9.800
18.400,0.000,0.000,-9.800
18.500,0.000,0.000,-9.800
18.600,0.000,0.000,-9.800
18.700,0.000,0.000,-9.800
18.800,0.000,0.000,-9.800
18.900,0.000,0.000,-9.800
19.000,0.000,0.000,-9.800
19.100,0.000,0.000,-9.800
19.200,0.000,0.000,-9.800
19.300,0.000,0.000,-9.800
19.400,0.000,0.000,-9.800
19.500,0.000,0.000,-9.800
19.600,0.000,0.000,-9.800
19.700,0.000,0.000,-9.800
19.800,0.000,0.000,-9.800
